Majors,Name,sWAR,Card,Card 2,Last 1,Last 2,IL Return,Dem Wk,Vanity,Injury,Hand,C,1B,2B,3B,SS,LF,CF,RF,vL,vR,OVR,P,SP,RP,CP,vL.1,vR.1,OVR.1,Defense / Endurance,Unnamed: 31,Left Field,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Center Field,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Right Field,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,False,Draft Mode
12548,Andy Pages,0.85,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andy-pages.png,,,,,-2,,1p60,R,,,,,,205,305,205,,,,,,,,10.0,-2.0,7.0,cf-3(-1)e5 rf-2e5 lf-2e5,,Name,H,vL,vR,Def,Name,H,vL,vR,Def,Name,H,vL,vR,Def,,True,All Imports
12553,Anthony Bender,0.49,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-bender.png,,,,,-2,,2p50,R,,,,,,,,,,,,,,1.0,0.0,-7.0,46.0,13.66666667,R(1) C(0),,Yordan Alvarez,L,41,34,503,JJ Bleday,L,14,13,406,Teoscar Hernandez,R,32,23,403,vs Left,,vs Right
12573,Ben Brown,1.22,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-brown.png,,,,w07g2,-2,,5p30,R,,,,,,,,,,,,,5,4.0,,10.0,35.0,20.33333333,S(5) R(4),,Teoscar Hernandez,R,32,23,403,Cedric Mullins,L,-24,14,101,Andy Pages,R,10,-2,205,David Fry,C,Shea Langaliers
12577,Ben Rice,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-rice.png,,,,,-2,,1p30,L,402,408,,,,,,,,,,,,,,-15.0,-15.0,-13.0,"1b-4e8 c-4(+2)e2,T-2(pb-0)",,Andy Pages,R,10,-2,205,Andy Pages,R,10,-2,305,Mickey Moniak,L,-17,-10,306,Rhys Hoskins,1B,Alec Burleson
12665,Cedric Mullins,1.51,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/cedric-mullins.png,,,,,-2,,1p65,L,,,,,,,101,,,,,,,,,-24.0,14.0,14.0,cf-1(0)e1,,Mickey Moniak,L,-17,-10,306,Mickey Moniak,L,-17,-10,306,,,,,,Ramon Urias,2B,Ramon Urias
12751,Dedniel Nunez,1.65,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/dedniel-nunez.png,,,,,-2,,5p20,R,,,,,,,,,,,,,,2.0,0.0,35.0,46.0,41.66666667,R(2) C(0),,Ildemaro Vargas,S,-13,-22,518,,,,,,,,,,,Alex Bregman,3B,Alex Bregman
12752,Dennis Santana,0.9,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/dennis-santana.png,,,,,-2,,1p40,R,,,,,,,,,,,,,,2.0,2.0,22.0,20.0,25.66666667,R(2) C(2),,,,,,,,,,,,,,,,,Trea Turner,SS,Trea Turner
12857,Griffin Canning,0.08,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/griffin-canning.png,,,,,-2,,1p70,R,,,,,,,,,,,,,5,,,-22.0,-9.0,-10.66666667,S(5),,,,,,,,,,,,,,,,,Steven Kwan,LF,Steven Kwan
12885,Ildemaro Vargas,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ildemaro-vargas.png,,,,,-2,,1p50,S,,425,303,219,427,518,,,,,,,,,,-13.0,-22.0,-14.0,3b-2e19 2b-3e3 lf-5(0)e18 ss-4e27 1b-4e25,,Third Base,,,,,Shortstop,,,,,Second Base,,,,,Blake Perkins,CF,Blake Perkins
12927,Jared Jones,1.11,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jared-jones.png,,,,,-2,,2p65,R,,,,,,,,,,,,,5,,,9.0,7.0,12.66666667,S(5),,Name,H,vL,vR,Def,Name,H,vL,vR,Def,Name,H,vL,vR,Def,Jo Adell,RF,Ronald Acuna Jr
12961,JJ Bleday,0.95,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jj-bleday.png,,,,,-2,,1p70,L,,,,,,,406,,,,,,,,,14.0,13.0,21.0,cf-4(-2)e6,,Mark Vientos,R,30,21,408,Trea Turner,R,32,15,324,Jorge Polanco,S,-9,-16,411,Ronald Acuna Jr,DH,Andrew McCutchen
12967,Joe Mantiply,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/joe-mantiply.png,,,,,-2,,0p72,L,,,,,,,,,,,,,1,1.0,0.0,35.0,10.0,27.33333333,S(1) R(1) C(0),,Ildemaro Vargas,S,-13,-22,219,Ildemaro Vargas,S,-13,-22,427,Ildemaro Vargas,S,-13,-22,303,,,
12983,John Schreiber,0.46,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/john-schreiber.png,,,,,-2,,2p40,R,,,,,,,,,,,,,,1.0,1.0,10.0,24.0,18.66666667,R(1) C(1),,,,,,,,,,,,,,,,,,,
13007,Jorge Polanco,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jorge-polanco.png,,,,,-2,,2p60,S,,,411,,,,,,,,,,,,,-9.0,-16.0,-11.0,2b-4e11,,,,,,,,,,,,,,,,,,,
13036,Josh Naylor,0.69,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/josh-naylor.png,,,,,-2,,1p70,L,,311,,,,,,,,,,,,,,5.0,12.0,18.0,1b-3e11,,,,,,,,,,,,,,,,,,,
13046,JT Realmuto,2.11,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jt-realmuto.png,,,,,-2,,4p50,R,201,,,,,,,,,,,,,,,15.0,5.0,7.0,"c-2(-3)e1,T-7(pb-1)",,,,,,,,,,,,,,,,,,,
13158,Mark Vientos,1.98,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/mark-vientos.png,,,,,-2,,1p50,R,,412,,408,,,,,,,,,,,,30.0,21.0,27.0,3b-4e8 1b-4e12,,,,,,,,,,,,,,,,,,,
13205,Mickey Moniak,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/mickey-moniak.png,,,,,-2,,1p60,L,,,,,,306,306,306,,,,,,,,-17.0,-10.0,-6.0,cf-3(0)e6 rf-3e6 lf-3e6,,,,,,,Catcher,,,,,First Base,,,,,,,
13290,Porter Hodge,1.45,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/porter-hodge.png,,,,,-2,,1p40,R,,,,,,,,,,,,,,1.0,4.0,33.0,35.0,38.66666667,R(1) C(4),,,,,,,Name,H,vL,vR,Def,Name,H,vL,vR,Def,,,
13331,Ryan Fernandez,0.72,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ryan-fernandez.png,,,,,-2,,1p60,R,,,,,,,,,,,,,,1.0,1.0,25.0,12.0,21.33333333,R(1) C(1),,Black Bears sWAR,26.93,26.93,,,JT Realmuto,R,15,5,201,Mark Vientos,R,30,21,412,,,
13409,Teoscar Hernandez,1.91,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/teoscar-hernandez.png,,,,,-2,,1p70,R,,,,,,403,,403,,,,,,,,32.0,23.0,34.0,lf-4(-1)e3 rf-4e3,,Coal Miners sWAR,4.44,,,,Ben Rice,L,-15,-15,402,Josh Naylor,L,5,12,311,,,
13429,Trea Turner,1.61,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/trea-turner.png,,,,,-2,,1p60,R,,,,,324,,,,,,,,,,,32.0,15.0,28.0,ss-3e24,,Injured List sWAR,1.98,,,,,,,,,Ben Rice,L,-15,-15,408,,,
13483,Will Vest,1.02,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/will-vest.png,,,,,-2,,1p60,R,,,,,,,,,,,,,,1.0,1.0,29.0,21.0,28.66666667,R(1) C(1),,,,,,,,,,,,Ildemaro Vargas,S,-13,-22,425,,,
13506,Yordan Alvarez,2.47,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/yordan-alvarez.png,,,,,-2,,1p65,L,,,,,,503,,,,,,,,,,41.0,34.0,42.0,lf-5(-3)e3,,,,,,,,,,,,,,,,,,,
13507,Yoshinobu Yamamoto,1.42,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/yoshinobu-yamamoto.png,,,,,-2,,3p50,R,,,,,,,,,,,,,5,,,42.0,6.0,20.0,S(5),,,,,,,,,,,,,,,,,,,
13513,Zac Gallen,1.37,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/zac-gallen.png,,,,,-2,,1p70,R,,,,,,,,,,,,,5,,,25.0,10.0,22.0,S(5),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting Pitchers,,,,,,,,,,Relief Pitchers,,,,,,,
Minors,Name,sWAR,Card,Card 2,Last 1,Last 2,IL Return,Dem Week,Vanity,Injury,Hand,C,1B,2B,3B,SS,LF,CF,RF,P,SP,RP,CP,Defense / Endurance,,,,,,Defense / Endurance,,Name,H,vL,vR,End,Last 2,,,,,Name,H,vL,vR,End,Last 2,,
12506,Adley Rutschman,1.55,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adley-rutschman.png,,,,,-2,,1p70,,,,,,,,,,,,,,,,,,,,"c-1(0)e1,T-5(pb-1)",,Zac Gallen,R,25,10,S(5),,,,,False,Dedniel Nunez,R,35,46,R(2) C(0),,,
