player id,name,sWAR,image,image2,team id,team abbrev,pos 1,pos 2,pos 3,pos 4,pos 5,pos 6,pos 7,pos 8,last game,last game 2,il return,dem week,vanity card,strat code,bbref id,injury rating,DRAFT TEAM,Unnamed: 24,BOARD TEAM,Unnamed: 26,id,abbrev,sname,lname,manager_legacy,division_legacy,gmid,gmid2,manager1,manager2,division,mascot,stadium,gsheet,thumbnail,color,dice_color,season,auto_draft,salary_cap
12492,Aaron Bummer,0.31,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aaron-bummer.png,,547,FA,RP,,,,,,,,,,,-2,,"Bummer,A",bummeaa01,1p50,,,,,547.0,FA,Free Agents,Free Agents,,,,,,,,,,,https://sombaseball.ddns.net/static/images/sba-logo.png,a6ce39,,13.0,,
12493,Aaron Civale,0.34,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aaron-civale.png,,547,FA,SP,,,,,,,,,,,-2,,"Civale,A",civalaa01,1p70,,,,,548.0,WV,Black Bears,West Virginia Black Bears,,,2.5810453242314752e+17,,Cal,,42.0,,https://i.postimg.cc/XJXYbczz/WV-Weather.png,,https://i.postimg.cc/HjDc8bBF/blackbears-transparent.png,6699FF,,13.0,,29.5
12494,Aaron Hicks,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aaron-hicks.png,,547,FA,RF,LF,CF,,,,,,,,,-2,,"Hicks,A",hicksaa01,1p20,,,,,551.0,DEN,Zephyr,Denver Zephyr,,,3.014550446567588e+17,2.6373608100082483e+17,Foxx,Brian,43.0,,https://i.postimg.cc/9MzQhtnv/DEN_Weather.png,,https://i.ibb.co/c6LkmsQ/newzephyr-final.png,33006f,,13.0,,31.5
12495,Aaron Judge,4.45,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aaron-judge.png,,575,WAI,CF,RF,LF,,,,,,,,,-2,,"Judge,A",judgeaa01,1p70,,,,,554.0,THE,HawkEyes,Tokyo HawkEyes,,,9.715461259474125e+16,2.718007005252157e+17,Socc,Holly,44.0,,https://i.postimg.cc/tT74jtcH/THE_Weather.png,,https://files.catbox.moe/gcfpdg.png,FCA9A5,F9BD74,13.0,,32.5
12496,Aaron Nola,1.63,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aaron-nola.png,,565,GMEMiL,SP,,,,,,,,,,,-2,,"Nola,A",nolaaa01,0p72,,,,,557.0,MYT,Muses,Mytilene Muses,,,2.3110046048269107e+17,,Val,,42.0,,https://i.postimg.cc/ydW8HXGH/MYT_Weather.png,,https://i.imgur.com/CNyhpR6.png,931c72,931C72,13.0,,33.5
12497,Aaron Schunk,0.35,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aaron-schunk.png,,547,FA,2B,3B,SS,,,,,,,,,-2,,"Schunk,A",schunaa01,1p20,,,,,560.0,DAL,Drillers,Dallas Drillers,,,5.930421504473825e+17,4.684563815281459e+17,Will,Admiral,43.0,,https://i.postimg.cc/3RWxTCcX/DAL_Weather.png,,https://i.postimg.cc/tTc8Q7mj/image-16.png,FF0000,,13.0,,32.5
12498,Abraham Toro,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/abraham-toro.png,,547,FA,3B,2B,1B,LF,,,,,,,,-2,,"Toro,A",toroab01,2p50,,,,,563.0,GME,Market Equities,Gotham Market Equities,,,2.1340396007207728e+17,1.4303407278705869e+17,Mcast,Cash,44.0,,https://i.postimg.cc/3RWxTCcz/GME_Weather.png,,https://i.postimg.cc/pLdV3ZQW/gme.webp,FFd601,,13.0,,31.5
12499,Adam Cimber,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adam-cimber.png,,593,CLS,RP,,,,,,,,,,,-2,https://i.postimg.cc/mrZm9knC/Cimber-FC.png,"Cimber,A",cimbead01,3p20,,,,,566.0,MKE,Bovines,Milwaukee Bovines,,,2.1268711363484058e+17,5.2185602088933786e+17,Basebally,Peter,44.0,,https://i.postimg.cc/QtVd3kyc/MKE_Weather.png,,https://i.imgur.com/6t7Mvml.png,ECD69F,,13.0,,31.5
12500,Adam Duvall,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adam-duvall.png,,587,CHC,RF,LF,,,,,,,,,,-2,,"Duvall,A",duvalad01,1p50,,,,,569.0,POR,Loggers,Portland Loggers,,,1.8516716173459456e+17,2.834212089453609e+17,Ryan,Paul,43.0,,https://i.postimg.cc/XJXYbczh/POR_Weather.png,,https://i.postimg.cc/Bn7L5YmL/loggers.png,457604,,13.0,,34.5
12501,Adam Frazier,0.18,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adam-frazier.png,,547,FA,2B,RF,LF,3B,1B,,,,,,,-2,,"Frazier,A",fraziad01,1p50,,,,,572.0,BSG,Snow Geese,Big Sky Snow Geese,,,1.4842586658884813e+17,2.5477453427454768e+17,Lyle,JZ,45.0,,https://i.postimg.cc/bJMNND74/BSG_Weather.gif,,https://i.postimg.cc/zGMmjtSZ/bigsky.png,efa54e,,13.0,,33.5
