Alternate Lineup,Alt Lineup:,True,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1,Yordan Alvarez,SS,,,,SS,,Yordan Alvarez
2,,LF,,,,,,
3,Trea Turner,RF,,,,LF,,
4,Cedric Mullins,CF,,,,,,
5,Mickey Moniak,3B,,,,RF,,Trea Turner
6,Jorge Polanco,LF,,,,,,
7,Mark Vientos,C,,,,CF,,Cedric Mullins
8,JT Realmuto,1B,,,,,,
9,Josh Naylor,2B,,,,3B,,Mickey Moniak
,,,,,,,,
Standard Lineup,,,,,,LF,,Jorge Polanco
1,,,,,,,,
2,,,,,,C,,Mark Vientos
3,,,,,,,,
4,,,,,,1B,,JT Realmuto
5,,,,,,,,
6,,,,,,2B,,Josh Naylor
7,,,,,,,,
8,,,,,,P,,Yoshinobu Yamamoto
9,,,,,,,,
,,,,,,,,
Highlight Player,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
No player selected,,,,,,,,
