player_id,Name,sWAR,team,hand,IP,SO vlhp,SO v rhp,SO vl+,SO vr+,Pts,Pts.1,BB vlhp,BB v rhp,BB vl+,BB vr+,Pts.2,Pts.3,HIT v lhp,HIT v rhp,Hit vl+,Hit vr+,Pts.4,Pts.5,OB v lhp,OB v rhp,OBP vl+,OBP vr+,Pts.6,Pts.7,TB v lhp,TB v rhp,TB vl+,TB vr+,Pts.8,Pts.9,123B v lhp,123b v rhp,123B vl+,123B vr+,Pts.10,Pts.11,123TB v l,123TB v rhp,123TB vl+,123TB vr+,Pts.12,Pts.13,HR v lhp,HR v rhp,HR vl+,HR vr+,Pts.14,Pts.15,BP v lhp,BP v rhp,BPHR vL,BPHR vR,BPHR vl+,BPHR vr+,Pts.16,Pts.17,BP1B v lhp,BP1b v rhp,BP1B vL+,BP1B vR+,Pts.18,Pts.19,DP vlhp,DP v rhp,DP vl+,DP vr+,Pts.20,Pts.21,HO,Hold,ENDURANCE,cleanEndur,split1,split2,split3,SP,RP,CP,FIELD,Range,Error,BK,WP,BAT-B,STL,SPD,Bunt,Injury,Raw vL,Raw vR,Raw Pts,vL,vR,Total,Injury Roll,Injury Length,1,2,3
13360,Sean Guenther,3.43,,L,21,6,15,-2,-2,-6,-6,0,0,3,3,3,3,0.0,0.0,3,3,6,6,0.0,0.0,3,3,15,15,0.0,0.0,3,3,6,6,0.0,0.0,3,3,3,3,0.0,0.0,3,3,6,6,0.0,0.0,2,2,10,10,,,0,0,3,2,6,4,0,0,1,1,1,1,12,12,3,3,6,6,-1,-1,R(2),R(2),R(2),,,,2.0,,3-0,3,0,0,0,1WL-C,E,10,C,1p20,56,54,110,56,54,61.66666667,4,3,RP,,
12794,Emmanuel Clase,2.84,,R,74,26,32,0,1,0,3,0,0,3,3,3,3,0.0,8.3,3,1,6,2,0.0,8.3,3,2,15,10,0.0,8.6,3,2,6,4,0.0,8.3,3,1,3,1,0.0,8.6,3,2,6,4,0.0,0.0,2,2,10,10,,0.0,0,0,3,2,6,4,0,5,1,0,1,0,12,12,3,3,6,6,-4,-4,R(1) C(6),R(1) C(6),R(1),C(6),,,1.0,6.0,4-38,4,38,0,6,1WR-C,E,10,C,0p72,62,47,109,62,47,61.0,5,4,RP,CP,
12934,Jason Adam,1.69,,R,74,37,42,1,2,3,6,3,9,2,0,2,0,0.9,3.9,2,2,4,4,3.8,12.9,3,2,15,10,1.6,10.4,2,2,4,4,0.9,3.1,2,2,2,2,1.6,7.2,2,2,4,4,0.0,0.8,2,1,10,5,,,0,1,3,2,6,4,0,0,1,1,1,1,12,11,3,3,6,6,9,9,R(1) C(2),R(1) C(2),R(1),C(2),,,1.0,2.0,5-0,5,0,4,6,1WR-C,E,10,C,0p72,57,46,103,57,46,58.66666667,5,4,RP,CP,
13342,Ryan Walker,1.68,,R,80,41,53,2,3,6,9,2,5,2,2,2,2,6.1,2.4,2,2,4,4,8.1,7.5,2,2,10,10,13.5,2.4,1,2,2,4,5.3,2.4,1,2,1,2,10.3,2.4,1,2,2,4,0.8,0.0,2,2,10,10,1.0,0.0,1,0,2,2,4,4,5,5,0,0,0,0,8,10,2,3,4,6,1,1,R(1) C(3),R(1) C(3),R(1),C(3),,,1.0,3.0,3-0,3,0,0,5,1WR-C,E,10,C,0p72,45,55,100,45,55,57.33333333,5,4,RP,CP,
13280,Paul Skenes,3.99,,R,133,47,48,2,2,6,6,8,1,0,3,0,3,3.5,6.7,2,2,4,4,11.5,7.7,2,2,10,10,5.4,10.6,2,2,4,4,3.5,5.5,2,2,2,2,5.4,5.8,2,2,4,4,0.0,1.2,2,1,10,5,,1.0,0,1,3,2,6,4,0,5,1,0,1,0,12,12,3,3,6,6,-6,-6,S(6),S(6),S(6),,,6.0,,,2-22,2,22,3,3,1WR-C,E,10,C,1p60,53,48,101,53,48,54.66666667,4,1,SP,,
12876,Hunter Gaddis,1.67,,R,75,29,26,0,0,0,0,0,3,3,2,3,2,7.7,4.9,1,2,2,4,7.7,7.9,2,2,10,10,18.1,9.9,1,2,2,4,7.7,4.9,1,2,1,2,18.1,9.9,0,1,0,2,0.0,0.0,2,2,10,10,,,0,0,3,2,6,4,0,0,1,1,1,1,7,7,2,2,4,4,-5,-5,R(1),R(1),R(1),,,,1.0,,1-38,1,38,0,6,1WR-C,E,10,C,0p72,39,43,82,39,43,49.33333333,5,4,RP,,
13403,Tarik Skubal,2.95,,L,192,34,43,1,2,3,6,1,2,3,3,3,3,6.9,8.6,1,1,2,2,7.9,10.6,2,2,10,10,9.7,15.6,2,1,4,2,6.9,7.6,1,1,1,1,9.7,11.6,1,1,2,2,0.0,1.0,2,1,10,5,0.0,1.0,0,1,3,2,6,4,5,5,0,0,0,0,6,8,1,2,2,4,-3,-3,S(6),S(6),S(6),,,6.0,,,3-23,3,23,0,2,1WR-C,E,10,C,1p70,43,39,82,43,39,47.33333333,4,3,SP,,
12643,Cade Smith,1.53,,R,75,61,46,3,2,9,6,6,3,1,2,1,2,5.2,15.7,2,0,4,0,11.2,18.7,2,1,10,5,11.2,30.5,2,0,4,0,5.2,15.7,1,0,1,0,11.2,30.5,1,-1,2,-2,0.0,0.0,2,2,10,10,,,0,0,3,2,6,4,0,0,1,1,1,1,5,10,0,3,0,6,-1,-1,R(1) C(0),R(1) C(0),R(1),C(0),,,1.0,0.0,2-0,2,0,5,0,1WR-C,E,10,C,0p72,48,32,80,48,32,46.33333333,5,4,RP,CP,
12859,Griffin Jax,1.89,,R,71,44,57,2,3,6,9,2,3,2,2,2,2,8.8,5.0,1,2,2,4,10.8,8.0,2,2,10,10,14.5,10.6,1,2,2,4,8.8,5.0,1,2,1,2,14.5,10.6,1,1,2,2,0.0,0.0,2,2,10,10,0.0,,0,0,3,2,6,4,5,0,0,1,0,1,0,0,-3,-3,-6,-6,-4,-4,R(1) C(3),R(1) C(3),R(1),C(3),,,1.0,3.0,3-0,3,0,0,13,1WR-C,E,10,C,0p72,35,42,77,35,42,46.33333333,5,4,RP,CP,
12678,Chris Sale,3.14,,L,178,53,45,3,2,9,6,2,4,2,2,2,2,7.9,11.9,1,1,2,2,9.9,15.9,2,2,10,10,14.4,17.8,1,1,2,2,7.9,11.9,1,0,1,0,14.4,17.8,1,0,2,0,0.0,0.0,2,2,10,10,0.0,0.0,0,0,3,2,6,4,5,5,0,0,0,0,5,5,0,0,0,0,-1,-1,S(6),S(6),S(6),,,6.0,,,1-0,1,0,2,5,1WL-C,E,10,C,1p70,44,36,80,44,36,45.66666667,4,3,SP,,
