Player ID:,9904,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
player,team,pa,ab,run,hit,rbi,double,triple,hr,bb,so,hbp,sac,ibb,gidp,sb,cs,bphr,bpfo,bp1b,bplo,wpa,avg,obp,slg,ops,woba,game,lob_all,lob_all_rate,lob_2outs,rbi%,week,re24_primary,,,,,,,,,,,,,,,
Luis Robert,DAL,61,57,12,14,6,4,0,4,2,19,1,1,0,0,0,0,3,0,1,4,-0.6320001,0.24561403508771928,0.2786885245901639,0.5263157894736842,0.8050043140638481,0.3429508196721312,TOT,22,0.9166666666666666,6,0.08333333333333333,TOT,-1.9119998,,,,,,,,,,,,,,,
Luis Robert,BSG,237,222,33,50,32,18,3,13,9,90,5,1,0,7,2,1,7,7,3,5,-0.48500009999999993,0.22522522522522523,0.270042194092827,0.509009009009009,0.779051203101836,0.33362869198312234,TOT,151,0.8830409356725146,56,0.1111111111111111,TOT,-1.9119998,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player ID:,10024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
player,team,tbf,outs,games,gs,win,loss,hold,save,bsave,ir,ir_sc,ab,run,e_run,hits,double,triple,hr,bb,so,hbp,sac,ibb,gidp,sb,cs,bphr,bpfo,bp1b,bplo,wp,balk,wpa,era,whip,avg,obp,slg,ops,woba,k/9,bb/9,k/bb,game,lob_2outs,rbi%,week,re24_primary
Pablo Lopez,DAL,222,141,10,8,2,2,0,0,0,0,0,198,37,35,61,7,2,11,20,57,1,3,0,4,0,1,8,3,3,3,2,0,0.2810001,6.702127659574468,1.7234042553191489,0.30808080808080807,0.36936936936936937,0.5303030303030303,0.8996723996723996,0.3884684684684685,10.914893617021276,3.8297872340425534,2.85,TOT,0,0,TOT,-10.564998
Pablo Lopez,BSG,96,75,4,4,2,0,0,0,0,0,0,90,7,7,19,4,0,5,5,25,1,0,0,5,0,0,1,1,2,2,1,0,1.7309998,2.52,0.96,0.2111111111111111,0.2604166666666667,0.4222222222222222,0.6826388888888889,0.29843749999999997,9,1.8,5,TOT,0,0,TOT,7.7979994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.5263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.5263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
player,sbaplayer,team,season,name,player_team_id,player_team_abbrev,pa,ab,run,hit,double,triple,homerun,rbi,bb,so,bphr,bpfo,bp1b,bplo,gidp,hbp,sac,ibb,avg,obp,slg,ops,woba,k_pct,sb,cs,,,,,,,,,,,,,,,,,
11862,,499,12,Jackson Holliday,499,WV,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0.789,0,1,0,,,,,,,,,,,,,,,,,
12274,,499,12,Rhys Hoskins,499,WV,58,48,13,10,1,0,6,14,7,16,2,2,0,0,1,3,0,0,0.208,0.345,0.604,0.949,0.406,27.6,0,0,,,,,,,,,,,,,,,,,
12472,,499,12,Yordan Alvarez,499,WV,293,255,44,68,8,1,20,47,29,40,8,5,7,7,8,4,2,3,0.267,0.355,0.541,0.896,0.38,13.7,0,0,,,,,,,,,,,,,,,,,
12077,,499,12,Lars Nootbaar,499,WV,145,124,23,34,10,2,4,8,17,34,2,2,5,1,3,3,1,0,0.274,0.372,0.484,0.856,0.374,23.4,6,0,,,,,,,,,,,,,,,,,
11487,248,499,12,Alex Bregman,499,WV,329,305,47,83,16,1,19,46,24,50,9,3,6,4,9,0,0,0,0.272,0.325,0.518,0.843,0.365,15.2,0,0,,,,,,,,,,,,,,,,,
11483,,499,12,Alec Burleson,499,WV,263,236,35,61,10,0,14,45,24,43,7,4,4,6,3,2,1,0,0.258,0.331,0.479,0.81,0.354,16.3,1,1,,,,,,,,,,,,,,,,,
12395,1,499,12,Trea Turner,499,WV,355,338,43,105,15,1,13,38,15,81,6,3,11,6,4,0,1,1,0.311,0.341,0.476,0.817,0.354,22.8,7,1,,,,,,,,,,,,,,,,,
11798,,499,12,Garrett Hampson,499,WV,24,23,3,8,1,0,0,2,1,6,0,0,1,1,0,0,0,0,0.348,0.375,0.391,0.766,0.341,25,2,0,,,,,,,,,,,,,,,,,
12262,,499,12,Ramon Urias,499,WV,253,225,44,58,5,1,10,31,22,45,6,4,8,7,3,5,1,0,0.258,0.336,0.422,0.758,0.336,17.8,2,1,,,,,,,,,,,,,,,,,
11928,20,499,12,Jo Adell,499,WV,102,95,15,20,6,1,7,18,6,31,5,1,1,4,2,1,0,0,0.211,0.265,0.516,0.78,0.335,30.4,0,1,,,,,,,,,,,,,,,,,
11674,,499,12,Connor Wong,499,WV,181,170,19,47,9,0,6,20,6,39,2,5,1,7,7,5,0,0,0.276,0.32,0.435,0.756,0.333,21.5,2,2,,,,,,,,,,,,,,,,,
12339,,499,12,Shea Langeliers,499,WV,254,225,39,46,6,0,18,37,24,69,7,7,3,8,9,4,1,0,0.204,0.291,0.471,0.762,0.332,27.2,0,0,,,,,,,,,,,,,,,,,
11509,1272,499,12,Andrew McCutchen,499,WV,93,76,12,18,2,0,2,8,16,23,1,0,2,2,0,0,1,0,0.237,0.366,0.342,0.708,0.325,24.7,1,0,,,,,,,,,,,,,,,,,
11956,,499,12,Jonatan Clase,499,WV,116,100,12,26,1,0,2,10,7,30,1,2,4,3,2,8,1,0,0.26,0.353,0.33,0.683,0.315,25.9,4,3,,,,,,,,,,,,,,,,,
12288,,499,12,Ronald Acuna Jr,499,WV,161,135,14,27,5,0,3,20,22,35,0,2,1,9,5,3,1,0,0.2,0.323,0.304,0.627,0.291,21.7,11,3,,,,,,,,,,,,,,,,,
12251,,499,12,Pete Crow Armstrong,499,WV,26,22,1,7,1,0,0,1,1,10,0,0,1,1,0,0,3,0,0.318,0.308,0.364,0.671,0.28,38.5,0,1,,,,,,,,,,,,,,,,,
11545,,499,12,Blake Perkins,499,WV,251,228,24,50,8,1,1,25,17,69,0,3,6,8,3,6,0,0,0.219,0.291,0.276,0.567,0.261,27.5,10,3,,,,,,,,,,,,,,,,,
12437,,499,12,Vidal Brujan,499,WV,15,15,0,4,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0.267,0.267,0.267,0.533,0.237,26.7,1,1,,,,,,,,,,,,,,,,,
11851,,499,12,Ildemaro Vargas,499,WV,52,46,5,7,1,0,0,1,6,8,0,0,0,0,1,0,0,0,0.152,0.25,0.174,0.424,0.207,15.4,0,1,,,,,,,,,,,,,,,,,
11559,,499,12,Brady Singer,499,WV,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,,,,,,,,,,,,,,,,,
12473,2206,499,12,Yoshinobu Yamamoto,499,WV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
11539,266,499,12,Ben Brown,499,WV,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
12479,673,499,12,Zac Gallen,499,WV,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,,,,,,,,,,,,,,,,,
