Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9▼,RF/G,SB,CS,CS%,PO.1,Name-additional
4.0,Frank Lankford,27.0,LAD,NL,12.0,0.0,0.0,19.2,14.0,6.0,8.0,0.0,0.0,1.0,6.41,1.17,3.0,1.0,0.25,0.0,lankffr01
13.0,Rick DeHart,28.0,MON,NL,26.0,0.0,0.0,28.0,13.0,7.0,6.0,0.0,0.0,1.0,4.18,0.5,1.0,0.0,0.0,0.0,deharri01
16.0,Mike Magnante,33.0,HOU,NL,48.0,0.0,0.0,51.2,23.0,6.0,17.0,0.0,0.0,1.0,4.01,0.48,3.0,1.0,0.25,0.0,magnami01
19.0,Ricky Bones,29.0,KCR,AL,32.0,0.0,0.0,53.1,24.0,8.0,15.0,1.0,1.0,0.958,3.88,0.72,4.0,1.0,0.2,0.0,bonesri01
23.0,Armando Reynoso,32.0,NYM,NL,11.0,11.0,0.0,68.1,30.0,5.0,24.0,1.0,2.0,0.967,3.82,2.64,3.0,2.0,0.4,2.0,reynoar02
25.0,Scott Kamieniecki,34.0,BAL,AL,12.0,11.0,0.0,54.2,22.0,12.0,10.0,0.0,0.0,1.0,3.62,1.83,8.0,2.0,0.2,2.0,kamiesc01
28.0,Lance Painter,30.0,STL,NL,65.0,0.0,0.0,47.1,18.0,6.0,12.0,0.0,1.0,1.0,3.42,0.28,0.0,1.0,1.0,0.0,paintla01
29.0,Jim Abbott,30.0,CHW,AL,5.0,5.0,0.0,31.2,12.0,2.0,10.0,0.0,1.0,1.0,3.41,2.4,8.0,2.0,0.2,1.0,abbotji01
31.0,Greg Maddux,32.0,ATL,NL,34.0,34.0,9.0,251.0,98.0,31.0,63.0,4.0,5.0,0.959,3.37,2.76,28.0,11.0,0.28,0.0,maddugr01
33.0,Steve Avery,28.0,BOS,AL,34.0,23.0,0.0,123.2,47.0,7.0,39.0,1.0,5.0,0.979,3.35,1.35,10.0,9.0,0.47,3.0,averyst01
32.0,Curtis King,27.0,STL,NL,36.0,0.0,0.0,51.0,19.0,10.0,9.0,0.0,1.0,1.0,3.35,0.53,2.0,0.0,0.0,0.0,kingcu01
