player,team,pos,x-ch,hit,error,sb-ch,sb,cs,pb,wpa,wf%,cs%,game,week,perfect?,num checks,W/L,id,season,week.1,game_num,season_type,away_team,home_team,away_score,home_score,away_manager,home_manager,scorecard_url,Bears Win?
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,1.0,,1279.0,TOT,1.0,1.0,,1278,10,1,1.0,regular,CHC,WV,6.0,1.0,Jack,Cal,https://docs.google.com/spreadsheets/d/1NiRGpbYxudOtUy_yYuKDgLSXzAnzcnn7Ng3Qx_83nl4/edit?gid=1468572026,1.0
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,1.0,,1280.0,TOT,1.0,1.0,,1279,10,1,2.0,regular,CHC,WV,5.0,7.0,Jack,Cal,https://docs.google.com/spreadsheets/d/1ySx9KVnlER7vbjHMBeXS8wagnO4l0ugv9kSjCZCYW0c/edit?gid=1468572026,
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,,1306.0,TOT,1.0,1.0,,1280,10,1,3.0,regular,CHC,WV,5.0,7.0,Diego,Cal,https://docs.google.com/spreadsheets/d/15oQMysG8Nppf9rEqSDfi5OTnOOrldr7jEJ8FgecYuq8/edit?gid=2097166564,
Trea Turner,TOT,TOT,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,1.0,,1309.0,TOT,1.0,2.0,1.0,1281,10,1,4.0,regular,CHC,WV,3.0,4.0,Diego,Cal,https://docs.google.com/spreadsheets/d/1MwuAsjvQeJk2Atfy3GUQeeET-ABe340bnAIe4CCIVGA/edit?gid=1468572026,
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,1.0,,1342.0,TOT,1.0,1.0,1.0,1306,10,2,1.0,regular,CYP,WV,2.0,6.0,Plack,Cal,https://docs.google.com/spreadsheets/d/1WgFqZgKH9ZFR16SqAHicwm3bwJI9XWhZoQ-sC84gRIc/edit?gid=1468572026,
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,1.0,,1343.0,TOT,1.0,1.0,,1307,10,2,2.0,regular,CYP,WV,5.0,6.0,Plack,Cal,https://docs.google.com/spreadsheets/d/1A_5YGk5c4SPBi8OH5n8qZywTiPKvKk4oVi7p40469H4/edit?gid=1468572026,
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,1.0,,1344.0,TOT,1.0,1.0,1.0,1308,10,2,3.0,regular,WV,CYP,3.0,5.0,Cal,Plack,https://docs.google.com/spreadsheets/d/1fAuzNoOo5qXHJ0GCnf0i-rN4-QjDrGSl2DkI983D_ss/edit?usp=sharing,
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1368.0,TOT,1.0,1.0,1.0,1309,10,2,4.0,regular,WV,CYP,7.0,6.0,Cal,Plack,https://docs.google.com/spreadsheets/d/1HSKRLh-F3BUwJXONST3uRn5WFZt3XENrZJ-SckW1ioM/edit?gid=1468572026,1.0
Trea Turner,TOT,TOT,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021999998,0.75,,1369.0,TOT,,,,1342,10,3,1.0,regular,WV,AI,5.0,4.0,Cal,Josef,https://docs.google.com/spreadsheets/d/1NzWlkiiBFEb3iiaCeHsX1ZyVDEr-DvmWxkLWpc3F9i0/edit?usp=sharing,1.0
Trea Turner,TOT,TOT,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,1.0,,1394.0,TOT,1.0,3.0,1.0,1343,10,3,2.0,regular,WV,AI,8.0,9.0,Cal,Josef,https://docs.google.com/spreadsheets/d/1WzwiI64PrCnivoRtTfdn1W0dAOUjHd_NlG529F_6sdU/edit?usp=sharing,
Trea Turner,TOT,TOT,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.126,0.5,,1396.0,TOT,,,,1344,10,3,3.0,regular,WV,AI,9.0,8.0,Cal,Pops,https://docs.google.com/spreadsheets/d/1po_pUNppSdqfTUtDl0A2bs2ojanQQzQ-D5VtANeHpjI/edit?gid=1148472416,1.0
Trea Turner,TOT,TOT,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,,1445.0,TOT,1.0,3.0,1.0,1345,10,3,4.0,regular,WV,AI,3.0,5.0,Cal,Pops,https://docs.google.com/spreadsheets/d/1i2IWXQbA8rD29ZgVP2mKfPWC7c8U4CrmbuTpg6DDryk/edit?gid=1468572026,
Trea Turner,TOT,TOT,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.077,0.625,,1475.0,TOT,,,,1366,10,4,1.0,regular,WV,KSS,3.0,6.0,Cal,Smitty,https://docs.google.com/spreadsheets/d/1ahxWeVlyiLDW7PvCJFMUVCbT0oGiICmjfgKDDureltc/edit?usp=sharing,
Trea Turner,TOT,TOT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.022,0.25,,1476.0,TOT,,,,1367,10,4,2.0,regular,WV,KSS,7.0,11.0,Cal,Smitty,https://docs.google.com/spreadsheets/d/1Wi-QxNVXhxxC9caz4cJF4tKHfRj8-cZOXUueEshENdc/edit?usp=sharing,
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017,1.0,,1477.0,TOT,1.0,1.0,,1368,10,4,3.0,regular,KSS,WV,9.0,4.0,Smitty,Cal,https://docs.google.com/spreadsheets/d/1r9V1dWZOB5I2y0CGMd_9oZO-2rMMBi0vumQ-RhlaKp8/edit?usp=sharing,1.0
Trea Turner,TOT,TOT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,1.0,,1486.0,TOT,1.0,1.0,1.0,1369,10,4,4.0,regular,KSS,WV,14.0,8.0,Smitty,Cal,https://docs.google.com/spreadsheets/d/1yRHBS19n13NDoruREXAnOvtKS8oVejUd1gnD85nq35I/edit?usp=sharing,1.0
