Players,Name,sWAR,Card,Card 2,IL Return,Dem Wk,Vanity,Injury,Destination,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Destination.1,Name.1,playerID,Name.2,sWAR.1,Card.1,Card 2.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,IL Return.1,Dem Wk.1,Vanity.1,Unnamed: 38,Unnamed: 39,Injury.1
12548,Andy Pages,0.85,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andy-pages.png,,,-2,,1p60,,,,,,,,,Jorge Polanco,13007.0,Jorge Polanco,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jorge-polanco.png,,548.0,WV,2B,,,,,,,,,,,-2.0,,"Polanco,J",polanjo01,2p60
12553,Anthony Bender,0.49,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-bender.png,,,-2,,2p50,,,Starting sWAR,Dropped sWAR,Added sWAR,Final sWAR,sWAR Cap,,Anthony Bender,12553.0,Anthony Bender,0.49,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-bender.png,,548.0,WV,RP,CP,,,,,,,,,,-2.0,,"Bender,A",bendean01,2p50
12573,Ben Brown,1.22,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-brown.png,,w07g2,-2,,5p30,,,26.93,0.08,0,26.85,29.5,,Stephen Kolek,13389.0,Stephen Kolek,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/stephen-kolek.png,,569.0,POR,RP,,,,,,,,,,,-2.0,,"Kolek,S",kolekst01,5p30
12577,Ben Rice,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-rice.png,,,-2,,1p30,,,,,,,,,Mickey Moniak,13205.0,Mickey Moniak,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/mickey-moniak.png,,548.0,WV,CF,RF,LF,,,,,,,,,-2.0,,"Moniak,M",moniami01,1p60
12665,Cedric Mullins,1.51,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/cedric-mullins.png,,,-2,,1p65,,,Count,Count,Count,Count,,,,,,,,,,,,,,,,,,,,,,,,,,
12751,Dedniel Nunez,1.65,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/dedniel-nunez.png,,,-2,,5p20,,,26,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,
12752,Dennis Santana,0.9,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/dennis-santana.png,,,-2,,1p40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12857,Griffin Canning,0.08,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/griffin-canning.png,,,-2,,1p70,WVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12885,Ildemaro Vargas,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ildemaro-vargas.png,,,-2,,1p50,,,Starting MiL,Dropped MiL,Added MiL,Final MiL,,,,,,,,,,,,,,,,,,,,,,,,,,
12927,Jared Jones,1.11,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jared-jones.png,,,-2,,2p65,,,5,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
